"ticker.kalshi","title.kalshi","yes_sub_title.kalshi","id.polym","question.polym"
"PRESPARTYMI-24-D","Will the Democratic party win Michigan in the presidential election?","Kamala Harris",255143,"Will a Democrat win Michigan Presidential Election?"
"PRESPARTYMI-24-D","Will the Democratic party win Michigan in the presidential election?","Kamala Harris",255144,"Will a Republican win Michigan Presidential Election?"
"PRESPARTYMI-24-D","Will the Democratic party win Michigan in the presidential election?","Kamala Harris",255145,"Will a candidate from another party win Michigan Presidential Election?"
"KXTRUMPUFC-26JAN01","Will  attend another numbered UFC event this year?","Yes",562166,"Will Trump attend UFC 318?"
"KXAIRDROPHYPE-26JAN01","Will Hyperliquid conduct an airdrop before Jan 1, 2026?","Before Jan 1, 2026",254468,"Hyperliquid airdrop by June 30?"
"KXPCTVOTEMAMR1-25-ZMAM-T25","What percent of the vote will Zohran Mamdani get in NYC Mayoral Democratic Primary first round?","25% or more",554579,"Will Zohran Madani’s vote share be less than 24% in the first round of the NYC Democratic mayoral primary?"
"KXPCTVOTEMAMR1-25-ZMAM-T25","What percent of the vote will Zohran Mamdani get in NYC Mayoral Democratic Primary first round?","25% or more",554580,"Will Zohran Madani’s vote share be between 24% and 28% in the first round of the NYC Democratic mayoral primary?"
"KXPCTVOTEMAMR1-25-ZMAM-T25","What percent of the vote will Zohran Mamdani get in NYC Mayoral Democratic Primary first round?","25% or more",554581,"Will Zohran Madani’s vote share be between 28% and 32% in the first round of the NYC Democratic mayoral primary?"
"KXPCTVOTEMAMR1-25-ZMAM-T25","What percent of the vote will Zohran Mamdani get in NYC Mayoral Democratic Primary first round?","25% or more",554582,"Will Zohran Madani’s vote share be greater than 32% in the first round of the NYC Democratic mayoral primary?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528920,"Will the Liberals win less than 100 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528921,"Will the Liberals win between 100-119 seats in the next Canadian Election?"
